epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853455680,2023-04-30T14.17.35.680,2.408,0.027,-0.003,0.006
1682853455690,2023-04-30T14.17.35.690,2.418,0.024,0.003,0.019
1682853455700,2023-04-30T14.17.35.700,2.428,0.017,0.009,0.023
1682853455709,2023-04-30T14.17.35.709,2.437,0.014,0.003,0.016
1682853455719,2023-04-30T14.17.35.719,2.447,0.011,0.002,0.010
1682853455730,2023-04-30T14.17.35.730,2.458,0.024,-0.002,0.005
1682853455740,2023-04-30T14.17.35.740,2.468,0.031,-0.005,0.009
1682853455750,2023-04-30T14.17.35.750,2.478,0.035,-0.006,0.012
1682853455760,2023-04-30T14.17.35.760,2.488,0.023,0.000,0.017
1682853455771,2023-04-30T14.17.35.771,2.499,0.024,0.001,0.021
1682853455781,2023-04-30T14.17.35.781,2.509,0.025,0.005,0.021
1682853455791,2023-04-30T14.17.35.791,2.519,0.012,0.008,0.020
1682853455801,2023-04-30T14.17.35.801,2.529,0.015,0.007,0.012
1682853455812,2023-04-30T14.17.35.812,2.540,0.009,0.009,0.010
1682853455822,2023-04-30T14.17.35.822,2.550,0.025,0.008,0.009
1682853455831,2023-04-30T14.17.35.831,2.559,0.018,0.005,0.004
1682853455841,2023-04-30T14.17.35.841,2.569,0.016,0.008,0.009
1682853455851,2023-04-30T14.17.35.851,2.579,0.015,0.007,0.011
1682853455862,2023-04-30T14.17.35.862,2.590,0.016,0.001,0.007
1682853455872,2023-04-30T14.17.35.872,2.600,0.026,0.000,0.010
1682853455882,2023-04-30T14.17.35.882,2.610,0.032,0.006,0.022
1682853455892,2023-04-30T14.17.35.892,2.620,0.022,0.005,0.017
1682853455903,2023-04-30T14.17.35.903,2.631,0.006,0.008,0.002
1682853455913,2023-04-30T14.17.35.913,2.641,0.007,0.012,0.004
1682853455923,2023-04-30T14.17.35.923,2.651,0.020,0.000,-0.005
1682853455933,2023-04-30T14.17.35.933,2.661,0.033,-0.006,-0.001
1682853455942,2023-04-30T14.17.35.942,2.670,0.031,-0.001,0.010
1682853455952,2023-04-30T14.17.35.952,2.680,0.022,-0.005,0.007
1682853455963,2023-04-30T14.17.35.963,2.691,0.013,-0.001,0.006
1682853455973,2023-04-30T14.17.35.973,2.701,0.014,0.007,0.006
1682853455983,2023-04-30T14.17.35.983,2.711,0.019,0.015,0.018
1682853455993,2023-04-30T14.17.35.993,2.721,0.011,0.017,0.016
1682853456004,2023-04-30T14.17.36.004,2.732,0.008,0.022,0.028
1682853456014,2023-04-30T14.17.36.014,2.742,0.013,0.016,0.037
1682853456024,2023-04-30T14.17.36.024,2.752,0.021,0.001,0.019
1682853456034,2023-04-30T14.17.36.034,2.762,0.026,-0.003,0.006
1682853456045,2023-04-30T14.17.36.045,2.773,0.031,-0.002,0.007
1682853456053,2023-04-30T14.17.36.053,2.781,0.024,-0.001,0.003
1682853456064,2023-04-30T14.17.36.064,2.792,0.009,0.012,0.015
1682853456074,2023-04-30T14.17.36.074,2.802,0.015,0.016,0.028
1682853456084,2023-04-30T14.17.36.084,2.812,0.007,0.013,0.037
1682853456094,2023-04-30T14.17.36.094,2.822,-0.005,0.002,0.036
1682853456105,2023-04-30T14.17.36.105,2.833,0.003,-0.043,0.041
